region,sex,background,time,contents,value
The whole country,Males,Europe except Turkey,1970,Persons,20491
The whole country,Males,Europe except Turkey,1980,Persons,27628
The whole country,Males,Europe except Turkey,1986,Persons,34777
The whole country,Males,Europe except Turkey,1987,Persons,36395
The whole country,Males,Europe except Turkey,1988,Persons,38399
The whole country,Males,Europe except Turkey,1989,Persons,39598
The whole country,Males,Europe except Turkey,1990,Persons,38889
The whole country,Males,Europe except Turkey,1991,Persons,38282
The whole country,Males,Europe except Turkey,1992,Persons,38868
The whole country,Males,Europe except Turkey,1993,Persons,40801
The whole country,Males,Europe except Turkey,1994,Persons,44755
The whole country,Males,Europe except Turkey,1995,Persons,47447
The whole country,Males,Europe except Turkey,1996,Persons,49413
The whole country,Males,Europe except Turkey,1997,Persons,50900
The whole country,Males,Europe except Turkey,1998,Persons,53984
The whole country,Males,Europe except Turkey,1999,Persons,57981
The whole country,Males,Europe except Turkey,2000,Persons,63690
The whole country,Males,Europe except Turkey,2001,Persons,64650
The whole country,Males,Europe except Turkey,2002,Persons,65583
The whole country,Males,Europe except Turkey,2003,Persons,68219
The whole country,Males,Europe except Turkey,2004,Persons,69565
The whole country,Males,Europe except Turkey,2005,Persons,72497
The whole country,Males,Europe except Turkey,2006,Persons,77767
The whole country,Males,Europe except Turkey,2007,Persons,87850
The whole country,Males,Europe except Turkey,2008,Persons,106610
The whole country,Males,Europe except Turkey,2009,Persons,125068
The whole country,Males,Europe except Turkey,2010,Persons,138189
The whole country,Males,Europe except Turkey,2011,Persons,155367
The whole country,Males,Europe except Turkey,2012,Persons,177833
The whole country,Males,Europe except Turkey,2013,Persons,197642
The whole country,Males,Europe except Turkey,2014,Persons,213456
The whole country,Males,Africa,1970,Persons,848
The whole country,Males,Africa,1980,Persons,2259
The whole country,Males,Africa,1986,Persons,3516
The whole country,Males,Africa,1987,Persons,3934
The whole country,Males,Africa,1988,Persons,5059
The whole country,Males,Africa,1989,Persons,6471
The whole country,Males,Africa,1990,Persons,7702
The whole country,Males,Africa,1991,Persons,8362
The whole country,Males,Africa,1992,Persons,9366
The whole country,Males,Africa,1993,Persons,10108
The whole country,Males,Africa,1994,Persons,10522
The whole country,Males,Africa,1995,Persons,10854
The whole country,Males,Africa,1996,Persons,11318
The whole country,Males,Africa,1997,Persons,11806
The whole country,Males,Africa,1998,Persons,12510
The whole country,Males,Africa,1999,Persons,13639
The whole country,Males,Africa,2000,Persons,15159
The whole country,Males,Africa,2001,Persons,16689
The whole country,Males,Africa,2002,Persons,18000
The whole country,Males,Africa,2003,Persons,20255
The whole country,Males,Africa,2004,Persons,22363
The whole country,Males,Africa,2005,Persons,23924
The whole country,Males,Africa,2006,Persons,25780
The whole country,Males,Africa,2007,Persons,27796
The whole country,Males,Africa,2008,Persons,30314
The whole country,Males,Africa,2009,Persons,32713
The whole country,Males,Africa,2010,Persons,35701
The whole country,Males,Africa,2011,Persons,39027
The whole country,Males,Africa,2012,Persons,42204
The whole country,Males,Africa,2013,Persons,46932
The whole country,Males,Africa,2014,Persons,51648
The whole country,Males,Asia including Turkey,1970,Persons,1059
The whole country,Males,Asia including Turkey,1980,Persons,10174
The whole country,Males,Asia including Turkey,1986,Persons,17103
The whole country,Males,Asia including Turkey,1987,Persons,19081
