"Region","Tid","Landbakgrunn","Kjonn","ContentsCode","Values"
"The whole country",1970,"Europe except Turkey","Males","Persons",20491
"The whole country",1980,"Europe except Turkey","Males","Persons",27628
"The whole country",1986,"Europe except Turkey","Males","Persons",34777
"The whole country",1987,"Europe except Turkey","Males","Persons",36395
"The whole country",1988,"Europe except Turkey","Males","Persons",38399
"The whole country",1989,"Europe except Turkey","Males","Persons",39598
"The whole country",1990,"Europe except Turkey","Males","Persons",38889
"The whole country",1991,"Europe except Turkey","Males","Persons",38282
"The whole country",1992,"Europe except Turkey","Males","Persons",38868
"The whole country",1993,"Europe except Turkey","Males","Persons",40801
"The whole country",1994,"Europe except Turkey","Males","Persons",44755
"The whole country",1995,"Europe except Turkey","Males","Persons",47447
"The whole country",1996,"Europe except Turkey","Males","Persons",49413
"The whole country",1997,"Europe except Turkey","Males","Persons",50900
"The whole country",1998,"Europe except Turkey","Males","Persons",53984
"The whole country",1999,"Europe except Turkey","Males","Persons",57981
"The whole country",2000,"Europe except Turkey","Males","Persons",63690
"The whole country",2001,"Europe except Turkey","Males","Persons",64650
"The whole country",2002,"Europe except Turkey","Males","Persons",65583
"The whole country",2003,"Europe except Turkey","Males","Persons",68219
"The whole country",2004,"Europe except Turkey","Males","Persons",69565
"The whole country",2005,"Europe except Turkey","Males","Persons",72497
"The whole country",2006,"Europe except Turkey","Males","Persons",77767
"The whole country",2007,"Europe except Turkey","Males","Persons",87850
"The whole country",2008,"Europe except Turkey","Males","Persons",106610
"The whole country",2009,"Europe except Turkey","Males","Persons",125068
"The whole country",2010,"Europe except Turkey","Males","Persons",138189
"The whole country",2011,"Europe except Turkey","Males","Persons",155367
"The whole country",2012,"Europe except Turkey","Males","Persons",177833
"The whole country",2013,"Europe except Turkey","Males","Persons",197642
"The whole country",1970,"Africa","Males","Persons",848
"The whole country",1980,"Africa","Males","Persons",2259
"The whole country",1986,"Africa","Males","Persons",3516
"The whole country",1987,"Africa","Males","Persons",3934
"The whole country",1988,"Africa","Males","Persons",5059
"The whole country",1989,"Africa","Males","Persons",6471
"The whole country",1990,"Africa","Males","Persons",7702
"The whole country",1991,"Africa","Males","Persons",8362
"The whole country",1992,"Africa","Males","Persons",9366
"The whole country",1993,"Africa","Males","Persons",10108
"The whole country",1994,"Africa","Males","Persons",10522
"The whole country",1995,"Africa","Males","Persons",10854
"The whole country",1996,"Africa","Males","Persons",11318
"The whole country",1997,"Africa","Males","Persons",11806
"The whole country",1998,"Africa","Males","Persons",12510
"The whole country",1999,"Africa","Males","Persons",13639
"The whole country",2000,"Africa","Males","Persons",15159
"The whole country",2001,"Africa","Males","Persons",16689
"The whole country",2002,"Africa","Males","Persons",18000
"The whole country",2003,"Africa","Males","Persons",20255
"The whole country",2004,"Africa","Males","Persons",22363
"The whole country",2005,"Africa","Males","Persons",23924
"The whole country",2006,"Africa","Males","Persons",25780
"The whole country",2007,"Africa","Males","Persons",27796
"The whole country",2008,"Africa","Males","Persons",30314
"The whole country",2009,"Africa","Males","Persons",32713
"The whole country",2010,"Africa","Males","Persons",35701
"The whole country",2011,"Africa","Males","Persons",39027
"The whole country",2012,"Africa","Males","Persons",42204
"The whole country",2013,"Africa","Males","Persons",46932
"The whole country",1970,"Asia including Turkey","Males","Persons",1059
"The whole country",1980,"Asia including Turkey","Males","Persons",10174
"The whole country",1986,"Asia including Turkey","Males","Persons",17103
"The whole country",1987,"Asia including Turkey","Males","Persons",19081
"The whole country",1988,"Asia including Turkey","Males","Persons",24361
"The whole country",1989,"Asia including Turkey","Males","Persons",28713
"The whole country",1990,"Asia including Turkey","Males","Persons",32306
"The whole country",1991,"Asia including Turkey","Males","Persons",35036
"The whole country",1992,"Asia including Turkey","Males","Persons",37446
"The whole country",1993,"Asia including Turkey","Males","Persons",39462
"The whole country",1994,"Asia including Turkey","Males","Persons",40555
"The whole country",1995,"Asia including Turkey","Males","Persons",41526
"The whole country",1996,"Asia including Turkey","Males","Persons",42812
"The whole country",1997,"Asia including Turkey","Males","Persons",44160
"The whole country",1998,"Asia including Turkey","Males","Persons",46128
"The whole country",1999,"Asia including Turkey","Males","Persons",48728
"The whole country",2000,"Asia including Turkey","Males","Persons",52501
"The whole country",2001,"Asia including Turkey","Males","Persons",58223
"The whole country",2002,"Asia including Turkey","Males","Persons",61824
"The whole country",2003,"Asia including Turkey","Males","Persons",66664
"The whole country",2004,"Asia including Turkey","Males","Persons",70051
"The whole country",2005,"Asia including Turkey","Males","Persons",72873
"The whole country",2006,"Asia including Turkey","Males","Persons",76431
"The whole country",2007,"Asia including Turkey","Males","Persons",79966
"The whole country",2008,"Asia including Turkey","Males","Persons",84639
"The whole country",2009,"Asia including Turkey","Males","Persons",90226
"The whole country",2010,"Asia including Turkey","Males","Persons",96011
"The whole country",2011,"Asia including Turkey","Males","Persons",100749
"The whole country",2012,"Asia including Turkey","Males","Persons",105338
"The whole country",2013,"Asia including Turkey","Males","Persons",110434
"The whole country",1970,"North America","Males","Persons",3340
"The whole country",1980,"North America","Males","Persons",5129
"The whole country",1986,"North America","Males","Persons",4748
"The whole country",1987,"North America","Males","Persons",4739
"The whole country",1988,"North America","Males","Persons",4712
"The whole country",1989,"North America","Males","Persons",4675
"The whole country",1990,"North America","Males","Persons",4369
